method,K,p1,p2,p3,p4,p5,p6,n_trials,T_max,asc_confidence,delta,epsilon,seed,include_final_wasteful,d_hat,lower_bound,empirical_mean,empirical_sem,n_valid,n_hit_cap,tilde_gap
ASC,3,0.456140350877193,0.2719298245614035,0.2719298245614035,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,11.269,2.9644452884674037,12.762,0.9589697487298433,1000,0,0.2530120481927711
PPR-1v1,3,0.456140350877193,0.2719298245614035,0.2719298245614035,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,44.177,3.234853956875818,13.318,1.1882612679208393,1000,0,0.2530120481927711
ASC,3,0.48421052631578954,0.2578947368421053,0.2578947368421053,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,9.765,2.1966509052561087,10.275,0.7726826084579705,1000,0,0.30496453900709225
PPR-1v1,3,0.48421052631578954,0.2578947368421053,0.2578947368421053,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,35.935,2.3526518875029923,8.679,0.6879747584528579,1000,0,0.30496453900709225
ASC,3,0.512280701754386,0.24385964912280703,0.24385964912280703,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,8.644,1.6734499245042371,7.779,0.5228992088180883,1000,0,0.35498839907192575
PPR-1v1,3,0.512280701754386,0.24385964912280703,0.24385964912280703,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,30.171,1.773215078140348,7.117,0.4923349517398746,1000,0,0.35498839907192575
ASC,3,0.5403508771929825,0.2298245614035088,0.2298245614035088,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,7.879,1.31103276182517,6.15,0.36662503176121775,1000,0,0.4031890660592255
PPR-1v1,3,0.5403508771929825,0.2298245614035088,0.2298245614035088,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,25.617,1.3694352922591866,6.057,0.40147095776647396,1000,0,0.4031890660592255
ASC,3,0.5684210526315789,0.21578947368421053,0.21578947368421053,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,7.419,1.040986367933192,4.103,0.22613608409214248,1000,0,0.4496644295302013
PPR-1v1,3,0.5684210526315789,0.21578947368421053,0.21578947368421053,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,22.848,1.0764732674098347,6.06,0.4684291043752788,1000,0,0.4496644295302013
ASC,3,0.5964912280701755,0.2017543859649123,0.2017543859649123,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,6.838,0.8338110905180909,3.622,0.18057608846058143,1000,0,0.4945054945054945
PPR-1v1,3,0.5964912280701755,0.2017543859649123,0.2017543859649123,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,20.184,0.856807247861584,4.452,0.28632093125665065,1000,0,0.4945054945054945
ASC,3,0.624561403508772,0.18771929824561404,0.18771929824561404,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,6.364,0.6728578782278605,3.701,0.20216446144035669,1000,0,0.5377969762419006
PPR-1v1,3,0.624561403508772,0.18771929824561404,0.18771929824561404,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,18.544,0.6880047575943036,4.131,0.24517330390756034,1000,0,0.5377969762419006
ASC,3,0.6526315789473685,0.17368421052631577,0.17368421052631577,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,6.152,0.5466105492761227,2.935,0.15094886737090996,1000,0,0.5796178343949046
PPR-1v1,3,0.6526315789473685,0.17368421052631577,0.17368421052631577,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,17.137,0.5556405926612864,3.302,0.19062301312573238,1000,0,0.5796178343949046
ASC,3,0.6807017543859649,0.15964912280701757,0.15964912280701757,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,5.79,0.44418135940478576,2.714,0.1181616103739542,1000,0,0.6200417536534446
PPR-1v1,3,0.6807017543859649,0.15964912280701757,0.15964912280701757,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,15.678,0.45011413532864764,3.15,0.1637446558282508,1000,0,0.6200417536534446
ASC,3,0.7087719298245614,0.1456140350877193,0.1456140350877193,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,5.599,0.3614846992926969,2.446,0.09912067851315842,1000,0,0.6591375770020533
PPR-1v1,3,0.7087719298245614,0.1456140350877193,0.1456140350877193,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,14.482,0.364807055480533,2.674,0.13455046572876594,1000,0,0.6591375770020533
ASC,3,0.736842105263158,0.13157894736842107,0.13157894736842107,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,5.388,0.29290549955097217,2.125,0.08441860873943316,1000,0,0.696969696969697
PPR-1v1,3,0.736842105263158,0.13157894736842107,0.13157894736842107,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,13.743,0.29503005304098456,2.479,0.11727451689225718,1000,0,0.696969696969697
ASC,3,0.7649122807017544,0.1175438596491228,0.1175438596491228,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,5.144,0.23612294359205532,2.054,0.08675604077302404,1000,0,0.7335984095427435
PPR-1v1,3,0.7649122807017544,0.1175438596491228,0.1175438596491228,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,12.748,0.23737558548564647,2.348,0.11435021631799377,1000,0,0.7335984095427435
ASC,3,0.7929824561403509,0.1035087719298246,0.1035087719298246,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,4.939,0.18859637869253992,1.834,0.06692475568071149,1000,0,0.7690802348336594
PPR-1v1,3,0.7929824561403509,0.1035087719298246,0.1035087719298246,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,11.982,0.18931959341187132,1.875,0.08626016355082927,1000,0,0.7690802348336594
